BadIndex	Word	Freq
477	druhich	107
478	dwaj	107
479	dósta	107
480	roda	107
481	Lamiaceae	105
482	Ranunculaceae	105
483	dokelž	105
484	von	105
485	žórłach	105
486	1945	104
487	Arnošta	104
488	Carex	104
489	Spermatophyta	104
490	cycawkowych	104
491	maslenkowych	104
492	sta	104
493	50	103
494	rěce	103
495	1880tych	102
496	Ale	102
497	Wšědna	102
498	třoch	102
499	lancetojte	101
500	słownik	101
501	starobje	100
502	žołte	100
503	20.	99
504	jednolětna	99
505	str.	99
506	tutym	99
507	1994	98
508	europskim	98
509	nic	98
510	srjedźnej	98
511	stat	98
512	wužiwaja	98
513	Budyšina	97
514	podroda	97
515	stołpiki	97
516	2006	96
517	Němskeje	96
518	februara	95
519	nahe	95
520	płaći	95
521	rěznow	95
522	swoje	95
523	wutkate	95
524	zdobom	95
525	hromadźe	94
526	kotrejž	94
527	rědko	94
528	syn	94
529	wapnite	94
530	wšě	94
531	štož	94
532	Tute	93
533	móžeja	93
534	owalne	93
535	přeco	93
536	wójny	93
537	lěću	92
538	pućach	91
539	słušeja	91
540	Tež	90
541	Wopisanje	90
542	suche	90
543	tu	90
544	znowa	90
545	15.	89
546	Podawki	89
547	běhu	89
548	formy	89
549	mjenom	89
550	mějachu	89
551	twori	89
552	dale	88
553	wjedźe	88
554	šěsć	88
555	2,5	87
556	Tak	87
557	krótko	87
558	prjedy	87
559	stołpik	87
560	Do	86
561	Mjeno	86
562	Orchidaceae	86
563	dźěći	86
564	jednym	86
565	orchidejowych	86
566	100	85
567	horjeka	85
568	morja	85
569	přećiwostejne	85
570	swójbje	85
571	swěće	85
572	1925	84
573	Europy	84
574	Krónowe	84
575	dwěmaj	84
576	samo	84
577	róžojte	83
578	sewjernej	83
579	12.	82
580	13.	82
581	kotrymž	82
582	spisowaćel	82
583	sydom	82
584	tute	82
585	čerwjene	82
586	Mjez	81
587	Někotre	81
588	Plantaginaceae	81
589	dźensnišeho	81
590	hałuzy	81
591	někak	81
592	nětko	81
593	přisłušeja	81
594	Geografija	80
595	Tam	80
596	cachorowowych	80
597	horinach	80
598	městnach	80
599	měsće	80
600	pomocu	80
601	spočatku	80
602	sylnje	80
603	wone	80
604	Čěskej	80
605	2002	79
606	běži	79
607	jedna	79
608	10.	78
609	14.	78
610	2004	78
611	Dla	78
612	dołhi	78
613	kćenjowe	78
614	kćěje	78
615	putnikowych	78
616	sewjernje	78
617	11.	77
618	Muki	77
619	Sakska	77
620	dwójce	77
621	kupy	77
622	swj	77
623	skupiny	76
624	wjacore	76
625	2.	75
626	2005	75
627	Praze	75
628	kćenjow	75
629	milionow	75
630	Nóžki	74
631	Scrophulariaceae	74
632	dweju	74
633	rolach	74
634	stolica	74
635	wulki	74
636	łopjenow	74
637	druhej	73
638	formje	73
639	předsyda	73
640	wuchodnje	73
641	Wšědny	72
642	dospołnje	72
643	dźesać	72
644	dźěle	72
645	wobsteja	72
646	wokrjesa	72
647	ćmowozelene	72
648	1936	71
649	1990	71
650	2008	71
651	2014	71
652	Kćenjowe	71
653	Słuša	71
654	mjenow	71
655	najwjetši	71
656	njejsu	71
657	republiki	71
658	tohodla	71
659	trudownikowych	71
660	čara	71
661	To	70
662	forma	70
663	kulojte	70
664	serbskeje	70
665	studowaše	70
666	tutón	70
667	wokrjes	70
668	2007	69
669	3.	69
670	cachorowych	69
671	cyrkwje	69
672	južnje	69
673	kerčinach	69
674	km	69
675	stejnišćach	69
676	swoju	69
677	wysokosći	69
678	wšak	69
679	zeleny	69
680	Žiwjenje	69
681	7.	68
682	Dźensa	68
683	Wulki	68
684	dalše	68
685	jewja	68
686	mjenje	68
687	narodźi	68
688	pjerite	68
689	rozporach	68
690	brjohach	67
691	farar	67
692	republice	67
693	słušeše	67
694	zrunane	67
695	Orobanchaceae	66
696	być	66
697	nadeńdźe	66
698	pućowych	66
699	regionje	66
700	swojeho	66
701	tomu	66
702	čłon	66
703	9.	65
704	L.	65
705	Tuta	65
706	eksistuja	65
707	hdyž	65
708	małke	65
709	politikar	65
710	prezident	65
711	rozšěrjene	65
712	sedźace	65
713	zarjadniske	65
714	2013	64
715	Ród	64
716	błyšćace	64
717	kóncu	64
718	kónčki	64
719	leža	64
720	prěnje	64
721	płód	64
722	samsnym	64
723	wjerba	64
724	wobsahuja	64
725	wučer	64
726	włóžne	64
727	1998	63
728	80	63
729	Hižo	63
730	Podobna	63
731	Serbskeje	63
732	hubinkowych	63
733	swětłych	63
734	wósom	63
735	wšěch	63
736	2000	62
737	9	62
738	A	62
739	Dokelž	62
740	Družiny	62
741	Jana	62
742	Serbski	62
743	ludowe	62
744	lěto	62
745	tuteje	62
746	wody	62
747	wutwori	62
748	časa	62
749	jedne	61
750	ludličenju	61
751	plahuje	61
752	přestrjeń	61
753	stata	61
754	wšelakokłóskatych	61
755	13	60
756	1999	60
757	2010	60
758	28.	60
759	cyłej	60
760	městnje	60
761	nowe	60
762	swětowej	60
763	słowo	60
764	1991	59
765	26.	59
766	Brankačk	59
767	Dnja	59
768	Rusojo	59
769	bydlachu	59
770	dołhich	59
771	hodźa	59
772	nasta	59
773	rostlinskich	59
774	rěki	59
775	wjacorych	59
776	woznamjenja	59
777	zwjazkoweho	59
778	Ameriki	58
779	Primulaceae	58
780	Stołpiki	58
781	cyrkwi	58
782	južneje	58
783	knjejstwo	58
784	měrje	58
785	přerěznej	58
786	rozšěrjeny	58
787	skutkowaše	58
788	srjedźišćo	58
789	tworja	58
790	šulu	58
791	1938	57
792	200	57
793	Delnje	57
794	druhdy	57
795	kropačkowych	57
796	sej	57
797	sobu	57
798	wutrobojte	57
799	žónske	57
800	8.	56
801	Běła	56
802	Domowiny	56
803	Ewangelscy	56
804	formu	56
805	słabje	56
806	wótre	56
807	zemrě	56
808	CD	55
809	Keluškowe	55
810	Maćicy	55
811	Muske	55
812	Serbskeho	55
813	bychu	55
814	bóle	55
815	deleka	55
816	doby	55
817	hora	55
818	hornjoserbskich	55
819	pochada	55
820	serbskorěčny	55
821	skupina	55
822	towarstwa	55
823	wokrjesu	55
824	5.	54
825	6.	54
826	Mała	54
827	dźěło	54
828	horje	54
829	hory	54
830	hłownje	54
831	ju	54
832	kosmaty	54
833	krónowe	54
834	němske	54
835	serbskej	54
836	swojeje	54
837	woběmaj	54
838	wužiwać	54
839	znate	54
840	23.	53
841	Budyskeho	53
842	ROM	53
843	Wobrazowy	53
844	Ze	53
845	brjoze	53
846	cyłokromne	53
847	der	53
848	druhi	53
849	dźěła	53
850	jemu	53
851	jězora	53
852	kosmata	53
853	mjenuje	53
854	połojcy	53
855	prawym	53
856	syn.	53
857	słónčnych	53
858	znajmjeńša	53
859	łopjenami	53
860	šuli	53
861	16	52
862	1950	52
863	2003	52
864	21.	52
865	90	52
866	dźěłaše	52
867	hodźi	52
868	jězor	52
869	kupje	52
870	lětomaj	52
871	mało	52
872	namakaja	52
873	nima	52
874	njedaloko	52
875	płoninach	52
876	swěta	52
877	swětoweje	52
878	tutej	52
879	wuda	52
880	2009	51
881	2015	51
882	46,4	51
883	Kwětnistwo	51
884	najčasćišo	51
885	pódach	51
886	sam	51
887	stronje	51
888	słowow	51
889	wjesny	51
890	zapadnej	51
891	zapadnje	51
892	18	50
893	2012	50
894	4.	50
895	70	50
896	Jeli	50
897	Keluch	50
898	Pod	50
899	dróha	50
