2293	14	7	15.1
8	7552	5	36.49
864	246	9	87.44
224	106	9	6.45
12	393	34	81.03
310	1719	3	28.77
8	488	93	609.73
103	4329	6	35.18
107	10226	3	23.47
111	727	6	18.52
108	5081	3	17.57
7843	9	3	15.41
4041	14	3	4.89
4836	4844	3	56.19
143	126	12	23.03
292	613	4	30.38
3806	14	4	8.05
194	1533	3	23.6
109	1125	4	12.58
7689	9	5	36.73
119	406	5	13.93
2095	7994	3	53.72
167	1148	9	81.96
1013	57	3	16.26
3197	5722	4	75.23
127	1064	14	113.21
7315	1287	3	50.33
2088	104	7	34.46
462	119	3	6.38
305	323	4	24.46
2152	14	6	9.77
552	111	10	34.32
12355	11821	3	77.36
863	129	4	20.55
864	518	3	27.8
103	7910	3	16.61
11994	12	3	19.78
1710	339	3	29.3
107	966	22	141.83
3194	14	7	20.5
1853	59	3	20
595	104	10	27.38
823	8687	4	67.17
234	305	14	108.72
2264	395	6	74.77
2746	2681	10	193.51
107	5092	6	46.94
506	760	6	62.14
1091	13377	3	56.05
376	547	6	52.96
435	1419	3	29.86
367	164	3	12.2
12387	14171	3	77.36
229	5263	3	33.77
138	163	11	35.72
108	3485	3	14.73
112	7971	3	22.53
12645	2156	3	60.45
112	3713	11	107.22
14478	636	3	52.25
463	236	4	25.07
104	2133	4	14.71
289	1119	6	59.29
15228	5746	3	67.8
2983	8641	3	56.08
106	1139	7	26.27
111	1008	5	17.15
9516	121	3	29.84
3439	12	5	17.2
2884	252	4	43.48
266	149	3	8.08
3959	657	8	130.59
320	3423	4	47.62
108	711	5	12.64
111	317	16	48.18
6268	14	4	14.13
1027	113	44	433.65
127	4975	3	24.92
3349	9	8	43.69
255	900	5	43.01
762	467	55	911.34
670	113	68	660.25
127	2692	5	40.1
3784	213	6	72.26
398	101	9	5.05
101	815	6	7.22
1918	14	5	5.68
103	7943	4	26.05
170	11952	3	41.46
12	139	401	1606.55
102	1650	16	85.31
9	3477	11	73.97
6214	9	5	31.37
107	2104	12	85.05
4529	9	5	24.57
1190	102	28	168.48
115	4766	7	65.81
1519	108	21	165.15
406	270	25	256.28
102	10441	3	17.95
1182	6713	3	48.22
6429	7501	4	88.2
295	118	7	17.89
105	459	8	14.32
471	5336	3	39.36
115	6164	6	61.57
115	1196	6	29.48
1704	101	3	4.07
883	280	3	23.4
106	242	146	956.2
107	364	36	175.76
5651	126	4	37.35
211	387	3	15.07
4642	112	9	87.72
12	2339	3	4.69
12	372	39	98.63
8	1160	37	270.11
635	147	3	14.13
158	1062	3	18.82
777	9994	4	71.59
2646	142	4	33.47
699	101	18	52.06
5538	9	7	51.42
101	1389	4	5.9
2231	12	4	7.95
129	182	8	19.95
120	931	3	11.62
554	1355	3	31.29
8635	14	3	9.67
293	135	13	68.75
141	1031	10	81.71
118	283	25	124.17
1616	383	13	174.9
103	12201	3	23.26
130	8597	4	43.54
177	460	3	14.11
105	385	9	14.98
1250	7423	4	70.96
12806	1996	3	60.13
564	106	10	28.34
112	6553	6	58.47
115	7213	4	36.05
1120	103	4	6.68
111	480	11	35.6
320	5760	7	110.19
12	2050	4	7.21
103	2579	9	48.14
543	103	9	14.65
103	969	4	5.59
103	2826	3	8.75
7735	4568	3	59.17
583	109	3	3.86
11008	5921	4	91.28
5975	14	3	7.12
127	3578	4	32.93
101	296	17	15.18
6832	633	3	43.93
864	324	4	34.92
485	248	5	35.03
8	6214	3	13.73
1056	12	8	14.42
1434	103	4	8.54
5306	101	4	17.26
109	1014	6	21.94
3713	113	11	108.3
240	106	12	15.4
7904	913	3	48.06
2309	14	7	15.1
292	143	3	8.23
1787	103	5	15.43
2812	14	5	9.17
7836	109	3	21.45
117	124	20	19.02
115	1416	3	11.6
12619	9	3	22.03
8	11595	3	21.89
2062	449	3	32.61
6148	14	3	8.22
6892	1001	3	47
3822	14	3	4.35
2797	101	3	6.8
103	3667	7	40.01
12	2575	4	9.29
8	3303	5	20.56
733	12	6	4.24
155	137	21	87.5
961	103	4	5.59
209	128	4	6.59
211	910	3	21.11
125	5810	3	25.03
8	2412	17	124.08
11866	9	3	22.03
8	2741	14	94.88
12	1749	7	18.47
103	406	18	40.21
7881	2667	5	103.95
241	231	4	18.46
861	123	4	18.14
128	7725	5	59.83
16	3341	3	20.28
9027	106	3	22.02
425	3021	5	63.76
102	2466	6	23.25
2262	167	3	24.94
5482	8417	4	86.28
12	1576	5	8.75
3495	547	5	69.02
2050	101	6	17.94
5013	12	3	9.57
8107	14	4	16.62
143	3092	3	24.57
531	1777	4	46.14
2268	511	4	48.35
200	4014	8	104.83
5884	9	5	28.45
2714	109	8	54.45
2001	14	8	16.9
115	1717	5	26.97
2957	212	14	204.15
104	530	7	12.58
120	2520	3	18
6	11391	3	55.31
147	7981	3	32.3
12	6090	3	10.52
12	2031	3	3.91
8	779	55	378.15
101	4140	3	9.29
6771	14	3	8.22
1094	221	30	399.09
519	120	4	12.48
5471	6360	5	110.04
306	107	6	6.27
8892	9	3	17.59
112	13722	3	29.23
12	620	8	6.59
139	450	4	16.32
2445	12	5	13.28
5709	9	6	38.38
116	2699	3	17.41
9526	2065	3	55.95
111	2232	6	33.7
798	101	8	12.94
108	2517	4	19.11
561	221	5	35.5
324	2056	3	30.4
503	301	3	19.74
104	3072	3	11.94
116	3077	3	18.36
3115	2426	3	47.47
103	12657	3	23.26
7509	1331	4	71.46
119	1463	8	54.28
6755	14	4	14.13
916	14	21	49.84
944	144	7	50.82
5144	12	3	9.57
180	125	8	15.34
154	509	3	13.21
341	1993	21	336.22
846	101	16	49.76
3756	279	3	33.26
120	775	5	22.39
837	8367	5	90.5
102	2622	3	7.58
8	2886	5	18.71
191	665	5	34.8
848	3191	3	40.26
1166	1093	3	35.23
1334	14	9	13.06
8	1797	4	8.94
10	5520	7	84.21
437	3726	3	36.46
3812	1801	3	46.66
118	1581	3	14.11
1724	102	3	5.33
292	492	8	67.59
105	1157	4	10.19
9592	104	3	21.24
2002	101	3	4.95
840	301	4	33.76
11566	7634	3	70.63
116	1550	9	62.76
2031	744	7	98.19
6459	923	3	46.6
165	752	18	173.05
106	5144	3	16.03
197	14	37	6.81
1218	101	4	4.93
1309	3587	5	80.59
8	11692	3	21.89
7906	5434	3	61.07
115	1255	6	30.21
5411	172	3	31.94
513	101	10	11.16
3583	9	11	80.8
12055	8	3	21.89
101	890	12	31.04
103	1384	29	210.14
185	188	14	76.08
147	530	6	33.72
149	761	3	15.6
148	5115	4	40.99
101	182	42	45.75
11744	12460	3	77.36
8	3092	7	33.46
112	13140	3	29.23
756	320	8	78.9
459	2797	9	129.3
120	6688	3	25.44
1030	101	5	6.52
154	237	3	7.71
101	1578	7	19.5
12	3557	3	6.97
128	5632	4	38.31
5127	14	8	42.97
3823	101	3	8.67
720	222	6	48.53
6111	108	4	27.91
1987	12	5	11.12
1034	2416	7	107.4
101	2836	3	6.8
1983	103	7	28.12
101	4326	4	16.05
1035	10799	3	51.1
1470	12	4	4.99
5024	517	3	40.07
1482	103	4	8.79
115	8817	3	26.29
894	340	3	24.97
12	1886	4	6.87
144	437	10	60.66
116	1511	10	71.41
108	4237	4	24.07
835	2316	9	138.69
137	666	3	13.2
261	189	170	2213.57
109	427	12	36.18
1282	877	6	77.52
202	1958	4	37.19
3503	2167	4	66.01
11886	106	3	26.49
434	189	7	45.29
128	8451	3	29.17
12325	1069	3	55.89
8	11713	3	21.89
104	121	67	70.9
105	493	25	104.65
106	855	18	91.93
1822	140	6	50.37
3838	14	6	17.78
6842	12	3	11.69
8	11866	3	21.89
2474	415	7	91.54
255	1056	3	23.68
5430	101	5	26.88
219	2501	5	52.93
1565	103	3	5.42
215	153	187	2156.61
1890	137	6	49.74
6118	113	7	68.91
2595	8	9	44.12
679	10633	4	70.3
4954	14	4	10.96
2425	10	13	137.92
8	7453	5	36.49
314	503	6	48.73
3339	2571	7	130.41
1674	12	8	22.69
2084	103	9	42.71
6023	14	3	7.12
3679	8	5	21.65
345	128	3	7.12
10654	104	4	34.28
5889	7035	4	83.64
9963	8	3	17.45
118	1306	4	19.53
1159	111	3	8.34
571	12	8	5.53
799	169	20	201.94
